,Program,Round ,Recipient Name,Physical Address of Recipient - Suburb/Location,Physical Address of Recipient - Post Code,University Collaborator (if applicable),Other Partners; Collaborators (if applicable),Investment/Project Title,Primary Location of Activity/Project - Suburb,Primary Location of Activity/Project - Post Code,Multiple Locations of Activity/Project (if applicable),Approval date,Local Government /Council,RAP Region,State Electorate,Actual Contractual Commitment ($)
317,Ignite Ideas Fund,AQ Ignite Ideas Fund 2020-21 Round 7,Blenktech Pty Ltd,Spring Hill,4000.0,,,"ProcurePro: AI-based, Scalable, High-Volume Contracting Software for Construction/Infrastructure",Newmarket,4051.0,,2/12/2020,Brisbane (C),Brisbane and Redlands,McConnel,200000.0
318,Ignite Ideas Fund,AQ Ignite Ideas Fund 2020-21 Round 7,Canaria Technologies Pty Ltd,Hendra,4011.0,,,Commercialising the Canaria-V,Fortitude Valley,4006.0,,2/12/2020,Brisbane (C),Brisbane and Redlands,Clayfield,200000.0
319,Ignite Ideas Fund,AQ Ignite Ideas Fund 2020-21 Round 7,Calvett Co Pty Ltd,Carrara,4211.0,,,Commercialisation of The Herd digital platform,Carrara,4211.0,,2/12/2020,Gold Coast (C),Gold Coast,Mudgeeraba,100000.0
320,Ignite Ideas Fund,AQ Ignite Ideas Fund 2020-21 Round 7,BidCrete Pty Ltd,West End,4101.0,,,Bidcrete,West End,4101.0,,2/12/2020,Brisbane (C),Brisbane and Redlands,South Brisbane,100000.0
321,Ignite Ideas Fund,AQ Ignite Ideas Fund 2020-21 Round 7,AssetAccountant Pty Ltd,Newstead,4006.0,,,AssetAccountant (AA) Global Readiness,Newstead,4006.0,,2/12/2020,Brisbane (C),Brisbane and Redlands,McConnel,100000.0
322,Ignite Ideas Fund,AQ Ignite Ideas Fund 2020-21 Round 7,Bioherbicide Australia Pty Ltd,Annerley,4103.0,,,Di-Bak G scale up to broader market,Gatton,4343.0,,2/12/2020,Brisbane (C),Darling Downs,Miller,200000.0
323,Ignite Ideas Fund,AQ Ignite Ideas Fund 2020-21 Round 7,Bidhive Pty Ltd,Ashgrove,4060.0,,,Bidhive mid-market channel partner project,Ashgrove,4060.0,,2/12/2020,Brisbane (C),Brisbane and Redlands,Cooper,180000.0
324,Ignite Ideas Fund,AQ Ignite Ideas Fund 2020-21 Round 7,Cardly Pty Ltd,Buderim,4556.0,,,Promoting Cardly to Australia & the World,Buderim,4556.0,,2/12/2020,Sunshine Coast (R),Sunshine Coast,Buderim,100000.0
325,Ignite Ideas Fund,AQ Ignite Ideas Fund 2020-21 Round 7,IISolutions Pty Ltd,Darra,4076.0,,,Smart City Infrastructure Management OSP,Darra,4076.0,,2/12/2020,Brisbane (C),Ipswich,Mount Ommaney,100000.0
326,Ignite Ideas Fund,AQ Ignite Ideas Fund 2020-21 Round 7,IDU Technologies Pty Ltd,Carina,4152.0,,,IDU Verification of Identity (VOI) Scale Up Programme,Carina,4152.0,,2/12/2020,Brisbane (C),Brisbane and Redlands,Bulimba,100000.0
327,Ignite Ideas Fund,AQ Ignite Ideas Fund 2020-21 Round 7,Literacy for Boys Pty Ltd,Sherwood,4075.0,,,Literacy for Boys Commercialisation,Sherwood,4075.0,,2/12/2020,Brisbane (C),Brisbane and Redlands,Miller,100000.0
328,Ignite Ideas Fund,AQ Ignite Ideas Fund 2020-21 Round 7,Law On Earth Au Pty Ltd,Brisbane City,4000.0,,,"Automated, Self-Service legal platform",Brisbane City,4000.0,,2/12/2020,Brisbane (C),Brisbane and Redlands,McConnel,100000.0
329,Ignite Ideas Fund,AQ Ignite Ideas Fund 2020-21 Round 7,Docto Holdings Pty Ltd,Broadbeach Waters,4218.0,,,Medical Specialist Telehealth Service for Rural Queensland,Broadbeach Waters,4218.0,,2/12/2020,Gold Coast (C),Gold Coast,Surfers Paradise,200000.0
330,Ignite Ideas Fund,AQ Ignite Ideas Fund 2020-21 Round 7,Charlton Innovation Pty Ltd,Windsor,4030.0,,,International Commercialisation of Lock Jaw Ladder Grip,Windsor,4030.0,,2/12/2020,Brisbane (C),Brisbane and Redlands,Clayfield,100000.0
